exit_time,exit_ns,pnl_pips,cum_pnl,drawdown,pair,year
2022-08-03 06:40:00+00:00,1659508800000000,-10.1,200805.5,70.3,EUR_JPY,2022
2022-08-03 07:00:00+00:00,1659510000000000,3.5,200809.0,66.8,GBP_USD,2022
2022-08-03 07:05:00+00:00,1659510300000000,0.5,200809.5,66.3,AUD_NZD,2022
2022-08-03 07:05:00+00:00,1659510300000000,-18.7,200790.8,85.0,CAD_JPY,2022
2022-08-03 07:15:00+00:00,1659510900000000,5.8,200796.6,79.2,EUR_AUD,2022
2022-08-03 07:15:00+00:00,1659510900000000,-9.0,200787.6,88.2,EUR_USD,2022
2022-08-03 08:05:00+00:00,1659513900000000,-24.2,200763.4,112.4,NZD_JPY,2022
2022-08-03 08:05:00+00:00,1659513900000000,-11.5,200751.9,123.9,CAD_JPY,2022
2022-08-03 08:15:00+00:00,1659514500000000,-5.9,200746.0,129.8,AUD_USD,2022
2022-08-03 08:15:00+00:00,1659514500000000,-3.5,200742.5,133.3,NZD_USD,2022
2022-08-03 08:15:00+00:00,1659514500000000,1.4,200743.9,131.9,AUD_NZD,2022
2022-08-03 08:15:00+00:00,1659514500000000,-5.0,200738.9,136.9,NZD_CAD,2022
2022-08-03 08:20:00+00:00,1659514800000000,3.8,200742.7,133.1,USD_CAD,2022
2022-08-03 08:30:00+00:00,1659515400000000,4.8,200747.5,128.3,EUR_GBP,2022
2022-08-03 08:30:00+00:00,1659515400000000,5.2,200752.7,123.1,GBP_USD,2022
2022-08-03 08:30:00+00:00,1659515400000000,1.4,200754.1,121.7,GBP_AUD,2022
2022-08-03 08:40:00+00:00,1659516000000000,-14.3,200739.8,136.0,CHF_JPY,2022
2022-08-03 09:00:00+00:00,1659517200000000,4.3,200744.1,131.7,GBP_JPY,2022
2022-08-03 09:05:00+00:00,1659517500000000,-16.9,200727.2,148.6,AUD_JPY,2022
2022-08-03 09:10:00+00:00,1659517800000000,-10.2,200717.0,158.8,USD_JPY,2022
2022-08-03 09:25:00+00:00,1659518700000000,-13.0,200704.0,171.8,CAD_JPY,2022
2022-08-03 09:25:00+00:00,1659518700000000,-9.2,200694.8,181.0,NZD_JPY,2022
2022-08-03 09:25:00+00:00,1659518700000000,-14.0,200680.8,195.0,AUD_JPY,2022
2022-08-03 10:00:00+00:00,1659520800000000,1.6,200682.4,193.4,GBP_AUD,2022
2022-08-03 10:00:00+00:00,1659520800000000,-0.3,200682.1,193.7,GBP_USD,2022
2022-08-03 10:05:00+00:00,1659521100000000,-13.8,200668.3,207.5,CHF_JPY,2022
2022-08-03 10:40:00+00:00,1659523200000000,-3.9,200664.4,211.4,USD_CAD,2022
2022-08-03 10:45:00+00:00,1659523500000000,-5.7,200658.7,217.1,EUR_GBP,2022
2022-08-03 10:45:00+00:00,1659523500000000,-1.8,200656.9,218.9,EUR_USD,2022
2022-08-03 10:50:00+00:00,1659523800000000,-9.2,200647.7,228.1,AUD_CAD,2022
2022-08-03 10:55:00+00:00,1659524100000000,-6.7,200641.0,234.8,USD_CAD,2022
